ID,Invoice_Number,Date,Product_Name,Price,Quantity_Soldd,Cost_per_Unit,Purchase_Type,Payment_Method,StoreID
3035,325857,06/12/2023,Chicken Sandwiches,9.95,3.72,2.85,Online,Credit Card,88791
3036,325858,06/12/2023,Fries,3.49,15.76,0.88,Online,Credit Card,88791
3037,325859,06/12/2023,Beverages,2.95,33.22,0.47,Online,Credit Card,88791
3038,325860,06/12/2023,Sides & Other,4.99,19.64,2.25,Online,Credit Card,88791
3039,329511,06/12/2023,Burgers,12.99,2,4.32,Online,Gift Card,88791
3040,329512,06/12/2023,Chicken Sandwiches,9.95,4.72,2.85,Online,Gift Card,88791
3041,329513,06/12/2023,Fries,3.49,5.44,0.88,Online,Gift Card,88791
3042,329514,06/12/2023,Beverages,2.95,11.86,0.47,Online,Gift Card,88791
3043,329515,06/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88791
3044,333166,06/12/2023,Burgers,12.99,135.18,4.32,In-store,Credit Card,88792
3045,333167,06/12/2023,Chicken Sandwiches,9.95,155.18,2.85,In-store,Credit Card,88792
3046,333168,06/12/2023,Fries,3.49,223.5,0.88,In-store,Credit Card,88792
3047,333169,06/12/2023,Beverages,2.95,458.64,0.47,In-store,Credit Card,88792
3048,333170,06/12/2023,Sides & Other,4.99,256.31,2.25,In-store,Credit Card,88792
3049,336821,06/12/2023,Burgers,12.99,61.12,4.32,In-store,Cash,88792
3050,336822,06/12/2023,Chicken Sandwiches,9.95,14.17,2.85,In-store,Cash,88792
3051,336823,06/12/2023,Fries,3.49,110.32,0.88,In-store,Cash,88792
3052,336824,06/12/2023,Beverages,2.95,39.66,0.47,In-store,Cash,88792
3053,336825,06/12/2023,Sides & Other,4.99,5.21,2.25,In-store,Cash,88792
3054,340476,06/12/2023,Burgers,12.99,2.23,4.32,In-store,Gift card,88792
3055,340477,06/12/2023,Chicken Sandwiches,9.95,4.42,2.85,In-store,Gift card,88792
3056,340478,06/12/2023,Fries,3.49,3.72,0.88,In-store,Gift card,88792
3057,340479,06/12/2023,Beverages,2.95,13.9,0.47,In-store,Gift card,88792
3058,340480,06/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88792
3059,344131,06/12/2023,Burgers,12.99,146.57,4.32,Drive-thru,Credit Card,88792
3060,344132,06/12/2023,Chicken Sandwiches,9.95,37.89,2.85,Drive-thru,Credit Card,88792
3061,344133,06/12/2023,Fries,3.49,732.38,0.88,Drive-thru,Credit Card,88792
3062,344134,06/12/2023,Beverages,2.95,754.24,0.47,Drive-thru,Credit Card,88792
3063,344135,06/12/2023,Sides & Other,4.99,57.31,2.25,Drive-thru,Credit Card,88792
3064,347786,06/12/2023,Burgers,12.99,24.48,4.32,Drive-thru,Cash,88792
3065,347787,06/12/2023,Chicken Sandwiches,9.95,9.15,2.85,Drive-thru,Cash,88792
3066,347788,06/12/2023,Fries,3.49,259.31,0.88,Drive-thru,Cash,88792
3067,347789,06/12/2023,Beverages,2.95,229.15,0.47,Drive-thru,Cash,88792
3068,347790,06/12/2023,Sides & Other,4.99,10.22,2.25,Drive-thru,Cash,88792
3069,351441,06/12/2023,Burgers,12.99,8.39,4.32,Drive-thru,Gift card,88792
3070,351442,06/12/2023,Chicken Sandwiches,9.95,6.73,2.85,Drive-thru,Gift card,88792
3071,351443,06/12/2023,Fries,3.49,6.88,0.88,Drive-thru,Gift card,88792
3072,351444,06/12/2023,Beverages,2.95,34.58,0.47,Drive-thru,Gift card,88792
3073,351445,06/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88792
3074,355096,06/12/2023,Burgers,12.99,27.02,4.32,Online,Credit Card,88792
3075,355097,06/12/2023,Chicken Sandwiches,9.95,14.27,2.85,Online,Credit Card,88792
3076,355098,06/12/2023,Fries,3.49,50.43,0.88,Online,Credit Card,88792
3077,355099,06/12/2023,Beverages,2.95,27.8,0.47,Online,Credit Card,88792
3078,355100,06/12/2023,Sides & Other,4.99,2.61,2.25,Online,Credit Card,88792
3079,358751,06/12/2023,Burgers,12.99,2.31,4.32,Online,Gift Card,88792
3080,358752,06/12/2023,Chicken Sandwiches,9.95,3.62,2.85,Online,Gift Card,88792
3081,358753,06/12/2023,Fries,3.49,4.3,0.88,Online,Gift Card,88792
3082,358754,06/12/2023,Beverages,2.95,5.08,0.47,Online,Gift Card,88792
3083,358755,06/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88792
3084,362406,06/12/2023,Burgers,12.99,275.37,4.32,In-store,Credit Card,88793
3085,362407,06/12/2023,Chicken Sandwiches,9.95,20.6,2.85,In-store,Credit Card,88793
3086,362408,06/12/2023,Fries,3.49,366.19,0.88,In-store,Credit Card,88793
3087,362409,06/12/2023,Beverages,2.95,291.53,0.47,In-store,Credit Card,88793
3088,362410,06/12/2023,Sides & Other,4.99,84.37,2.25,In-store,Credit Card,88793
3089,366061,06/12/2023,Burgers,12.99,104.7,4.32,In-store,Cash,88793
3090,366062,06/12/2023,Chicken Sandwiches,9.95,9.85,2.85,In-store,Cash,88793
3091,366063,06/12/2023,Fries,3.49,68.19,0.88,In-store,Cash,88793
3092,366064,06/12/2023,Beverages,2.95,95.93,0.47,In-store,Cash,88793
3093,366065,06/12/2023,Sides & Other,4.99,12.22,2.25,In-store,Cash,88793
3094,369716,06/12/2023,Burgers,12.99,0.77,4.32,In-store,Gift card,88793
3095,369717,06/12/2023,Chicken Sandwiches,9.95,1.01,2.85,In-store,Gift card,88793
3096,369718,06/12/2023,Fries,3.49,12.89,0.88,In-store,Gift card,88793
3097,369719,06/12/2023,Beverages,2.95,7.8,0.47,In-store,Gift card,88793
3098,369720,06/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88793
3099,373371,06/12/2023,Burgers,12.99,141.96,4.32,Drive-thru,Credit Card,88793
3100,373372,06/12/2023,Chicken Sandwiches,9.95,91.36,2.85,Drive-thru,Credit Card,88793
3101,373373,06/12/2023,Fries,3.49,81.38,0.88,Drive-thru,Credit Card,88793
3102,373374,06/12/2023,Beverages,2.95,567.8,0.47,Drive-thru,Credit Card,88793
3103,373375,06/12/2023,Sides & Other,4.99,48.5,2.25,Drive-thru,Credit Card,88793
3104,377026,06/12/2023,Burgers,12.99,86.07,4.32,Drive-thru,Cash,88793
3105,377027,06/12/2023,Chicken Sandwiches,9.95,59.6,2.85,Drive-thru,Cash,88793
3106,377028,06/12/2023,Fries,3.49,65.04,0.88,Drive-thru,Cash,88793
3107,377029,06/12/2023,Beverages,2.95,48.14,0.47,Drive-thru,Cash,88793
3108,377030,06/12/2023,Sides & Other,4.99,40.88,2.25,Drive-thru,Cash,88793
3109,380681,06/12/2023,Burgers,12.99,2.39,4.32,Drive-thru,Gift card,88793
3110,380682,06/12/2023,Chicken Sandwiches,9.95,8.84,2.85,Drive-thru,Gift card,88793
3111,380683,06/12/2023,Fries,3.49,3.44,0.88,Drive-thru,Gift card,88793
3112,380684,06/12/2023,Beverages,2.95,4.07,0.47,Drive-thru,Gift card,88793
3113,380685,06/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88793
3114,384336,06/12/2023,Burgers,12.99,9.01,4.32,Online,Credit Card,88793
3115,384337,06/12/2023,Chicken Sandwiches,9.95,10.85,2.85,Online,Credit Card,88793
3116,384338,06/12/2023,Fries,3.49,82.23,0.88,Online,Credit Card,88793
3117,384339,06/12/2023,Beverages,2.95,25.08,0.47,Online,Credit Card,88793
3118,384340,06/12/2023,Sides & Other,4.99,5.01,2.25,Online,Credit Card,88793
3119,387991,06/12/2023,Burgers,12.99,2.69,4.32,Online,Gift Card,88793
3120,387992,06/12/2023,Chicken Sandwiches,9.95,1.01,2.85,Online,Gift Card,88793
3121,387993,06/12/2023,Fries,3.49,2.87,0.88,Online,Gift Card,88793
3122,387994,06/12/2023,Beverages,2.95,3.39,0.47,Online,Gift Card,88793
3123,387995,06/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88793
3124,11531,07/12/2023,Burgers,12.99,146.81,4.32,In-store,Credit Card,88781
3125,11532,07/12/2023,Chicken Sandwiches,9.95,67.04,2.85,In-store,Credit Card,88781
3126,11533,07/12/2023,Fries,3.49,961.89,0.88,In-store,Credit Card,88781
3127,11534,07/12/2023,Beverages,2.95,505.76,0.47,In-store,Credit Card,88781
3128,11535,07/12/2023,Sides & Other,4.99,62.12,2.25,In-store,Credit Card,88781
3129,15186,07/12/2023,Burgers,12.99,20.63,4.32,In-store,Cash,88781
3130,15187,07/12/2023,Chicken Sandwiches,9.95,7.44,2.85,In-store,Cash,88781
3131,15188,07/12/2023,Fries,3.49,23.21,0.88,In-store,Cash,88781
3132,15189,07/12/2023,Beverages,2.95,43.05,0.47,In-store,Cash,88781
3133,15190,07/12/2023,Sides & Other,4.99,22.65,2.25,In-store,Cash,88781
3134,18841,07/12/2023,Burgers,12.99,4.08,4.32,In-store,Gift card,88781
3135,18842,07/12/2023,Chicken Sandwiches,9.95,2.01,2.85,In-store,Gift card,88781
3136,18843,07/12/2023,Fries,3.49,8.6,0.88,In-store,Gift card,88781
3137,18844,07/12/2023,Beverages,2.95,6.78,0.47,In-store,Gift card,88781
3138,18845,07/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88781
3139,22496,07/12/2023,Burgers,12.99,169.44,4.32,Drive-thru,Credit Card,88781
3140,22497,07/12/2023,Chicken Sandwiches,9.95,47.14,2.85,Drive-thru,Credit Card,88781
3141,22498,07/12/2023,Fries,3.49,118.05,0.88,Drive-thru,Credit Card,88781
3142,22499,07/12/2023,Beverages,2.95,167.8,0.47,Drive-thru,Credit Card,88781
3143,22500,07/12/2023,Sides & Other,4.99,25.65,2.25,Drive-thru,Credit Card,88781
3144,26151,07/12/2023,Burgers,12.99,15.55,4.32,Drive-thru,Cash,88781
3145,26152,07/12/2023,Chicken Sandwiches,9.95,18.19,2.85,Drive-thru,Cash,88781
3146,26153,07/12/2023,Fries,3.49,123.5,0.88,Drive-thru,Cash,88781
3147,26154,07/12/2023,Beverages,2.95,92.2,0.47,Drive-thru,Cash,88781
3148,26155,07/12/2023,Sides & Other,4.99,16.83,2.25,Drive-thru,Cash,88781
3149,29806,07/12/2023,Burgers,12.99,8.31,4.32,Drive-thru,Gift card,88781
3150,29807,07/12/2023,Chicken Sandwiches,9.95,7.14,2.85,Drive-thru,Gift card,88781
3151,29808,07/12/2023,Fries,3.49,23.78,0.88,Drive-thru,Gift card,88781
3152,29809,07/12/2023,Beverages,2.95,12.88,0.47,Drive-thru,Gift card,88781
3153,29810,07/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88781
3154,33461,07/12/2023,Burgers,12.99,22.71,4.32,Online,Credit Card,88781
3155,33462,07/12/2023,Chicken Sandwiches,9.95,4.92,2.85,Online,Credit Card,88781
3156,33463,07/12/2023,Fries,3.49,235.53,0.88,Online,Credit Card,88781
3157,33464,07/12/2023,Beverages,2.95,20.34,0.47,Online,Credit Card,88781
3158,33465,07/12/2023,Sides & Other,4.99,19.04,2.25,Online,Credit Card,88781
3159,37116,07/12/2023,Burgers,12.99,1.69,4.32,Online,Gift Card,88781
3160,37117,07/12/2023,Chicken Sandwiches,9.95,1.11,2.85,Online,Gift Card,88781
3161,37118,07/12/2023,Fries,3.49,7.45,0.88,Online,Gift Card,88781
3162,37119,07/12/2023,Beverages,2.95,3.39,0.47,Online,Gift Card,88781
3163,37120,07/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88781
3164,40771,07/12/2023,Burgers,12.99,1317.32,4.32,In-store,Credit Card,88782
3165,40772,07/12/2023,Chicken Sandwiches,9.95,145.23,2.85,In-store,Credit Card,88782
3166,40773,07/12/2023,Fries,3.49,1082.23,0.88,In-store,Credit Card,88782
3167,40774,07/12/2023,Beverages,2.95,60,0.47,In-store,Credit Card,88782
3168,40775,07/12/2023,Sides & Other,4.99,33.47,2.25,In-store,Credit Card,88782
3169,44426,07/12/2023,Burgers,12.99,17.32,4.32,In-store,Cash,88782
3170,44427,07/12/2023,Chicken Sandwiches,9.95,2.71,2.85,In-store,Cash,88782
3171,44428,07/12/2023,Fries,3.49,92.84,0.88,In-store,Cash,88782
3172,44429,07/12/2023,Beverages,2.95,15.59,0.47,In-store,Cash,88782
3173,44430,07/12/2023,Sides & Other,4.99,17.03,2.25,In-store,Cash,88782
3174,48081,07/12/2023,Burgers,12.99,5.08,4.32,In-store,Gift card,88782
3175,48082,07/12/2023,Chicken Sandwiches,9.95,1.51,2.85,In-store,Gift card,88782
3176,48083,07/12/2023,Fries,3.49,9.46,0.88,In-store,Gift card,88782
3177,48084,07/12/2023,Beverages,2.95,12.88,0.47,In-store,Gift card,88782
3178,48085,07/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88782
3179,51736,07/12/2023,Burgers,12.99,193.76,4.32,Drive-thru,Credit Card,88782
3180,51737,07/12/2023,Chicken Sandwiches,9.95,70.15,2.85,Drive-thru,Credit Card,88782
3181,51738,07/12/2023,Fries,3.49,165.04,0.88,Drive-thru,Credit Card,88782
3182,51739,07/12/2023,Beverages,2.95,678.98,0.47,Drive-thru,Credit Card,88782
3183,51740,07/12/2023,Sides & Other,4.99,82.16,2.25,Drive-thru,Credit Card,88782
3184,55391,07/12/2023,Burgers,12.99,23.94,4.32,Drive-thru,Cash,88782
3185,55392,07/12/2023,Chicken Sandwiches,9.95,9.55,2.85,Drive-thru,Cash,88782
3186,55393,07/12/2023,Fries,3.49,544.99,0.88,Drive-thru,Cash,88782
3187,55394,07/12/2023,Beverages,2.95,22.71,0.47,Drive-thru,Cash,88782
3188,55395,07/12/2023,Sides & Other,4.99,95.39,2.25,Drive-thru,Cash,88782
3189,59046,07/12/2023,Burgers,12.99,10.01,4.32,Drive-thru,Gift card,88782
3190,59047,07/12/2023,Chicken Sandwiches,9.95,1.21,2.85,Drive-thru,Gift card,88782
3191,59048,07/12/2023,Fries,3.49,38.4,0.88,Drive-thru,Gift card,88782
3192,59049,07/12/2023,Beverages,2.95,8.81,0.47,Drive-thru,Gift card,88782
3193,59050,07/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88782
3194,62701,07/12/2023,Burgers,12.99,21.25,4.32,Online,Credit Card,88782
3195,62702,07/12/2023,Chicken Sandwiches,9.95,6.43,2.85,Online,Credit Card,88782
3196,62703,07/12/2023,Fries,3.49,78.22,0.88,Online,Credit Card,88782
3197,62704,07/12/2023,Beverages,2.95,28.47,0.47,Online,Credit Card,88782
3198,62705,07/12/2023,Sides & Other,4.99,7.62,2.25,Online,Credit Card,88782
3199,66356,07/12/2023,Burgers,12.99,0.77,4.32,Online,Gift Card,88782
3200,66357,07/12/2023,Chicken Sandwiches,9.95,1.01,2.85,Online,Gift Card,88782
3201,66358,07/12/2023,Fries,3.49,16.62,0.88,Online,Gift Card,88782
3202,66359,07/12/2023,Beverages,2.95,6.44,0.47,Online,Gift Card,88782
3203,66360,07/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88782
3204,70011,07/12/2023,Burgers,12.99,380.91,4.32,In-store,Credit Card,88783
3205,70012,07/12/2023,Chicken Sandwiches,9.95,42.11,2.85,In-store,Credit Card,88783
3206,70013,07/12/2023,Fries,3.49,760.46,0.88,In-store,Credit Card,88783
3207,70014,07/12/2023,Beverages,2.95,269.15,0.47,In-store,Credit Card,88783
3208,70015,07/12/2023,Sides & Other,4.99,66.73,2.25,In-store,Credit Card,88783
3209,73666,07/12/2023,Burgers,12.99,82.99,4.32,In-store,Cash,88783
3210,73667,07/12/2023,Chicken Sandwiches,9.95,11.66,2.85,In-store,Cash,88783
3211,73668,07/12/2023,Fries,3.49,19.77,0.88,In-store,Cash,88783
3212,73669,07/12/2023,Beverages,2.95,18.98,0.47,In-store,Cash,88783
3213,73670,07/12/2023,Sides & Other,4.99,31.86,2.25,In-store,Cash,88783
3214,77321,07/12/2023,Burgers,12.99,19.09,4.32,In-store,Gift card,88783
3215,77322,07/12/2023,Chicken Sandwiches,9.95,1.31,2.85,In-store,Gift card,88783
3216,77323,07/12/2023,Fries,3.49,16.33,0.88,In-store,Gift card,88783
3217,77324,07/12/2023,Beverages,2.95,18.64,0.47,In-store,Gift card,88783
3218,77325,07/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88783
3219,80976,07/12/2023,Burgers,12.99,535.33,4.32,Drive-thru,Credit Card,88783
3220,80977,07/12/2023,Chicken Sandwiches,9.95,57.39,2.85,Drive-thru,Credit Card,88783
3221,80978,07/12/2023,Fries,3.49,1251.86,0.88,Drive-thru,Credit Card,88783
3222,80979,07/12/2023,Beverages,2.95,36.61,0.47,Drive-thru,Credit Card,88783
3223,80980,07/12/2023,Sides & Other,4.99,42.48,2.25,Drive-thru,Credit Card,88783
3224,84631,07/12/2023,Burgers,12.99,15.55,4.32,Drive-thru,Cash,88783
3225,84632,07/12/2023,Chicken Sandwiches,9.95,30.55,2.85,Drive-thru,Cash,88783
3226,84633,07/12/2023,Fries,3.49,120.34,0.88,Drive-thru,Cash,88783
3227,84634,07/12/2023,Beverages,2.95,22.71,0.47,Drive-thru,Cash,88783
3228,84635,07/12/2023,Sides & Other,4.99,25.65,2.25,Drive-thru,Cash,88783
3229,88286,07/12/2023,Burgers,12.99,6,4.32,Drive-thru,Gift card,88783
3230,88287,07/12/2023,Chicken Sandwiches,9.95,1.81,2.85,Drive-thru,Gift card,88783
3231,88288,07/12/2023,Fries,3.49,11.46,0.88,Drive-thru,Gift card,88783
3232,88289,07/12/2023,Beverages,2.95,3.39,0.47,Drive-thru,Gift card,88783
3233,88290,07/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88783
3234,91941,07/12/2023,Burgers,12.99,6.47,4.32,Online,Credit Card,88783
3235,91942,07/12/2023,Chicken Sandwiches,9.95,6.43,2.85,Online,Credit Card,88783
3236,91943,07/12/2023,Fries,3.49,114.33,0.88,Online,Credit Card,88783
3237,91944,07/12/2023,Beverages,2.95,25.76,0.47,Online,Credit Card,88783
3238,91945,07/12/2023,Sides & Other,4.99,2,2.25,Online,Credit Card,88783
3239,95596,07/12/2023,Burgers,12.99,1.31,4.32,Online,Gift Card,88783
3240,95597,07/12/2023,Chicken Sandwiches,9.95,2.71,2.85,Online,Gift Card,88783
3241,95598,07/12/2023,Fries,3.49,7.16,0.88,Online,Gift Card,88783
3242,95599,07/12/2023,Beverages,2.95,3.73,0.47,Online,Gift Card,88783
3243,95600,07/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88783
3244,99251,07/12/2023,Burgers,12.99,557.2,4.32,In-store,Credit Card,88784
3245,99252,07/12/2023,Chicken Sandwiches,9.95,126.53,2.85,In-store,Credit Card,88784
3246,99253,07/12/2023,Fries,3.49,505.16,0.88,In-store,Credit Card,88784
3247,99254,07/12/2023,Beverages,2.95,870.17,0.47,In-store,Credit Card,88784
3248,99255,07/12/2023,Sides & Other,4.99,104.81,2.25,In-store,Credit Card,88784
3249,102906,07/12/2023,Burgers,12.99,20.63,4.32,In-store,Cash,88784
3250,102907,07/12/2023,Chicken Sandwiches,9.95,7.54,2.85,In-store,Cash,88784
3251,102908,07/12/2023,Fries,3.49,53.3,0.88,In-store,Cash,88784
3252,102909,07/12/2023,Beverages,2.95,107.12,0.47,In-store,Cash,88784
3253,102910,07/12/2023,Sides & Other,4.99,4.01,2.25,In-store,Cash,88784
3254,106561,07/12/2023,Burgers,12.99,7.08,4.32,In-store,Gift card,88784
3255,106562,07/12/2023,Chicken Sandwiches,9.95,1.81,2.85,In-store,Gift card,88784
3256,106563,07/12/2023,Fries,3.49,16.91,0.88,In-store,Gift card,88784
3257,106564,07/12/2023,Beverages,2.95,18.98,0.47,In-store,Gift card,88784
3258,106565,07/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88784
3259,110216,07/12/2023,Burgers,12.99,191.45,4.32,Drive-thru,Credit Card,88784
3260,110217,07/12/2023,Chicken Sandwiches,9.95,31.86,2.85,Drive-thru,Credit Card,88784
3261,110218,07/12/2023,Fries,3.49,592.84,0.88,Drive-thru,Credit Card,88784
3262,110219,07/12/2023,Beverages,2.95,345.42,0.47,Drive-thru,Credit Card,88784
3263,110220,07/12/2023,Sides & Other,4.99,24.25,2.25,Drive-thru,Credit Card,88784
3264,113871,07/12/2023,Burgers,12.99,13.47,4.32,Drive-thru,Cash,88784
3265,113872,07/12/2023,Chicken Sandwiches,9.95,13.57,2.85,Drive-thru,Cash,88784
3266,113873,07/12/2023,Fries,3.49,125.5,0.88,Drive-thru,Cash,88784
3267,113874,07/12/2023,Beverages,2.95,50.51,0.47,Drive-thru,Cash,88784
3268,113875,07/12/2023,Sides & Other,4.99,55.51,2.25,Drive-thru,Cash,88784
3269,117526,07/12/2023,Burgers,12.99,2.31,4.32,Drive-thru,Gift card,88784
3270,117527,07/12/2023,Chicken Sandwiches,9.95,5.03,2.85,Drive-thru,Gift card,88784
3271,117528,07/12/2023,Fries,3.49,10.03,0.88,Drive-thru,Gift card,88784
3272,117529,07/12/2023,Beverages,2.95,4.41,0.47,Drive-thru,Gift card,88784
3273,117530,07/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88784
3274,121181,07/12/2023,Burgers,12.99,11.7,4.32,Online,Credit Card,88784
3275,121182,07/12/2023,Chicken Sandwiches,9.95,22.11,2.85,Online,Credit Card,88784
3276,121183,07/12/2023,Fries,3.49,65.04,0.88,Online,Credit Card,88784
3277,121184,07/12/2023,Beverages,2.95,7.46,0.47,Online,Credit Card,88784
3278,121185,07/12/2023,Sides & Other,4.99,7.21,2.25,Online,Credit Card,88784
3279,124836,07/12/2023,Burgers,12.99,1.85,4.32,Online,Gift Card,88784
3280,124837,07/12/2023,Chicken Sandwiches,9.95,3.12,2.85,Online,Gift Card,88784
3281,124838,07/12/2023,Fries,3.49,4.01,0.88,Online,Gift Card,88784
3282,124839,07/12/2023,Beverages,2.95,5.76,0.47,Online,Gift Card,88784
3283,124840,07/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88784
3284,128491,07/12/2023,Burgers,12.99,59.43,4.32,In-store,Credit Card,88785
3285,128492,07/12/2023,Chicken Sandwiches,9.95,68.24,2.85,In-store,Credit Card,88785
3286,128493,07/12/2023,Fries,3.49,302.01,0.88,In-store,Credit Card,88785
3287,128494,07/12/2023,Beverages,2.95,616.95,0.47,In-store,Credit Card,88785
3288,128495,07/12/2023,Sides & Other,4.99,38.08,2.25,In-store,Credit Card,88785
3289,132146,07/12/2023,Burgers,12.99,24.48,4.32,In-store,Cash,88785
3290,132147,07/12/2023,Chicken Sandwiches,9.95,22.91,2.85,In-store,Cash,88785
3291,132148,07/12/2023,Fries,3.49,24.36,0.88,In-store,Cash,88785
3292,132149,07/12/2023,Beverages,2.95,4.75,0.47,In-store,Cash,88785
3293,132150,07/12/2023,Sides & Other,4.99,24.85,2.25,In-store,Cash,88785
3294,135801,07/12/2023,Burgers,12.99,4.23,4.32,In-store,Gift card,88785
3295,135802,07/12/2023,Chicken Sandwiches,9.95,4.72,2.85,In-store,Gift card,88785
3296,135803,07/12/2023,Fries,3.49,26.07,0.88,In-store,Gift card,88785
3297,135804,07/12/2023,Beverages,2.95,6.44,0.47,In-store,Gift card,88785
3298,135805,07/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88785
3299,139456,07/12/2023,Burgers,12.99,252.66,4.32,Drive-thru,Credit Card,88785
3300,139457,07/12/2023,Chicken Sandwiches,9.95,139.1,2.85,Drive-thru,Credit Card,88785
3301,139458,07/12/2023,Fries,3.49,99.14,0.88,Drive-thru,Credit Card,88785
3302,139459,07/12/2023,Beverages,2.95,838.64,0.47,Drive-thru,Credit Card,88785
3303,139460,07/12/2023,Sides & Other,4.99,121.84,2.25,Drive-thru,Credit Card,88785
3304,143111,07/12/2023,Burgers,12.99,25.1,4.32,Drive-thru,Cash,88785
3305,143112,07/12/2023,Chicken Sandwiches,9.95,12.56,2.85,Drive-thru,Cash,88785
3306,143113,07/12/2023,Fries,3.49,26.93,0.88,Drive-thru,Cash,88785
3307,143114,07/12/2023,Beverages,2.95,146.1,0.47,Drive-thru,Cash,88785
3308,143115,07/12/2023,Sides & Other,4.99,12.02,2.25,Drive-thru,Cash,88785
3309,146766,07/12/2023,Burgers,12.99,7.24,4.32,Drive-thru,Gift card,88785
3310,146767,07/12/2023,Chicken Sandwiches,9.95,4.22,2.85,Drive-thru,Gift card,88785
3311,146768,07/12/2023,Fries,3.49,9.17,0.88,Drive-thru,Gift card,88785
3312,146769,07/12/2023,Beverages,2.95,3.39,0.47,Drive-thru,Gift card,88785
3313,146770,07/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88785
3314,150421,07/12/2023,Burgers,12.99,10.85,4.32,Online,Credit Card,88785
3315,150422,07/12/2023,Chicken Sandwiches,9.95,5.83,2.85,Online,Credit Card,88785
3316,150423,07/12/2023,Fries,3.49,67.62,0.88,Online,Credit Card,88785
3317,150424,07/12/2023,Beverages,2.95,33.56,0.47,Online,Credit Card,88785
3318,150425,07/12/2023,Sides & Other,4.99,3.41,2.25,Online,Credit Card,88785
3319,154076,07/12/2023,Burgers,12.99,2.08,4.32,Online,Gift Card,88785
3320,154077,07/12/2023,Chicken Sandwiches,9.95,1.81,2.85,Online,Gift Card,88785
3321,154078,07/12/2023,Fries,3.49,3.15,0.88,Online,Gift Card,88785
3322,154079,07/12/2023,Beverages,2.95,5.42,0.47,Online,Gift Card,88785
3323,154080,07/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88785
3324,157731,07/12/2023,Burgers,12.99,36.34,4.32,In-store,Credit Card,88786
3325,157732,07/12/2023,Chicken Sandwiches,9.95,112.46,2.85,In-store,Credit Card,88786
3326,157733,07/12/2023,Fries,3.49,565.04,0.88,In-store,Credit Card,88786
3327,157734,07/12/2023,Beverages,2.95,43.73,0.47,In-store,Credit Card,88786
3328,157735,07/12/2023,Sides & Other,4.99,37.07,2.25,In-store,Credit Card,88786
3329,161386,07/12/2023,Burgers,12.99,44.42,4.32,In-store,Cash,88786
3330,161387,07/12/2023,Chicken Sandwiches,9.95,350.35,2.85,In-store,Cash,88786
3331,161388,07/12/2023,Fries,3.49,46.7,0.88,In-store,Cash,88786
3332,161389,07/12/2023,Beverages,2.95,32.54,0.47,In-store,Cash,88786
3333,161390,07/12/2023,Sides & Other,4.99,16.03,2.25,In-store,Cash,88786
3334,165041,07/12/2023,Burgers,12.99,0.92,4.32,In-store,Gift card,88786
3335,165042,07/12/2023,Chicken Sandwiches,9.95,2.51,2.85,In-store,Gift card,88786
3336,165043,07/12/2023,Fries,3.49,12.89,0.88,In-store,Gift card,88786
3337,165044,07/12/2023,Beverages,2.95,21.69,0.47,In-store,Gift card,88786
3338,165045,07/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88786
3339,168696,07/12/2023,Burgers,12.99,48.73,4.32,Drive-thru,Credit Card,88786
3340,168697,07/12/2023,Chicken Sandwiches,9.95,34.77,2.85,Drive-thru,Credit Card,88786
3341,168698,07/12/2023,Fries,3.49,116.62,0.88,Drive-thru,Credit Card,88786
3342,168699,07/12/2023,Beverages,2.95,172.54,0.47,Drive-thru,Credit Card,88786
3343,168700,07/12/2023,Sides & Other,4.99,35.87,2.25,Drive-thru,Credit Card,88786
3344,172351,07/12/2023,Burgers,12.99,126.48,4.32,Drive-thru,Cash,88786
3345,172352,07/12/2023,Chicken Sandwiches,9.95,8.04,2.85,Drive-thru,Cash,88786
3346,172353,07/12/2023,Fries,3.49,28.65,0.88,Drive-thru,Cash,88786
3347,172354,07/12/2023,Beverages,2.95,269.49,0.47,Drive-thru,Cash,88786
